country_code,country_name,expectancy,gdp,total_health,private_health,military,hospital_beds,dpt_coverage
SLV,El Salvador,72.872,3910.257193,7.22756004,36.11309052,1.05178543,1.2,85
SRB,Serbia,75.53902439,6292.543629,8.23131752,42.32913589,1.83994934,5.61,95
SVK,Slovak Republic,77.16585366,17556.60082,6.76883841,20.89406013,1.101933258,5.82,96
SVN,Slovenia,81.02926829,23512.81727,8.18941784,28.20182228,0.982335151,4.5,94
SWE,Sweden,82.4097561,53791.50873,10.78592205,15.24138165,1.024075502,2.21,97
TTO,Trinidad and Tobago,73.245,16238.19319,7.02028561,47.58415985,0.906067075,3.02,89
TUN,Tunisia,76.31,3481.228739,7.25768566,42.44759369,2.144302107,2.18,92
TUR,Turkey,77.161,10591.47437,4.17974997,22.28973007,2.065259672,2.81,96
URY,Uruguay,77.632,17322.14739,9.51635647,30.09272766,1.956406777,2.43,93
USA,United States,78.53902439,60062.22231,17.00361443,49.7457962,3.313385283,2.87,95
