room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
17714862,1454,118952981,Entire home/apt,NA,Belgium,Brussel,Brussel,6,4.5,4,1,NA,76,NA,Panorama Flats_ City Center _Appt 5,2017/07/15 01:52:41,50.847818,4.348404,0101000020E6100000AE2EA704C4641140E57ADB4C856C4940
804233,1454,4232995,Entire home/apt,NA,Belgium,Brussel,Brussel,148,4.5,4,1,NA,82,NA,"Brussels center,spacious loft!",2017/07/15 01:52:41,50.841459,4.341789,0101000020E6100000BA8784EFFD5D114062F6B2EDB46B4940
13850187,1454,67611007,Entire home/apt,NA,Belgium,Brussel,Sint-Joost-ten-Node,0,0,3,1,NA,76,NA,30's style apartment: close to EU and Bxl center,2017/07/15 01:52:41,50.849036,4.372961,0101000020E6100000DCBB067DE97D114036902E36AD6C4940
15403472,1454,95985564,Entire home/apt,NA,Belgium,Brussel,Brussel,12,4.5,2,0,NA,80,NA,STUDIO LOUISE AVENUE & PLACE STEPHANIE 1,2017/07/15 01:52:36,50.832144,4.355891,0101000020E610000050C3B7B06E6C114004C8D0B1836A4940
19376709,1454,17144377,Entire home/apt,NA,Belgium,Brussel,Sint-Gillis,2,0,4,0,NA,64,NA,Studio St-Gillois lumineux,2017/07/15 01:52:36,50.828953,4.352276,0101000020E6100000ACA92C0ABB681140E675C4211B6A4940
13199038,1454,11063943,Entire home/apt,NA,Belgium,Brussel,Brussel,3,5,3,1,NA,68,NA,Beautiful bright appartment @ Ste Catherine,2017/07/15 01:52:30,50.854104,4.345664,0101000020E6100000419E5DBEF5611140FFB0A547536D4940
16503282,1454,5583501,Entire home/apt,NA,Belgium,Brussel,Sint-Joost-ten-Node,0,0,3,0,NA,66,NA,Big studio near Madou and EU HQ-S0G,2017/07/15 01:52:30,50.851717,4.37293,0101000020E610000004CAA65CE17D11403F390A10056D4940
4369479,1454,2126739,Entire home/apt,NA,Belgium,Brussel,Brussel,25,4.5,6,1,NA,71,NA,TOUR & TAXIS 3 + FREE PARKING,2017/07/15 01:52:30,50.86378,4.345597,0101000020E61000000262122EE46111402D78D157906E4940
10742830,1454,9759011,Entire home/apt,NA,Belgium,Brussel,Brussel,34,5,2,1,NA,65,NA,Cosy flat 10 min walk to center,2017/07/15 01:52:21,50.847937,4.340544,0101000020E61000006765FB90B75C1140C0081A33896C4940
8522107,1454,3211641,Entire home/apt,NA,Belgium,Brussel,Sint-Joost-ten-Node,9,4.5,3,1,NA,65,NA,Lovely appartement in Brussels,2017/07/15 01:52:21,50.854135,4.376162,0101000020E6100000E7FD7F9C308111403AAFB14B546D4940
18156445,1454,20216385,Entire home/apt,NA,Belgium,Brussel,Brussel,6,5,2,0,NA,65,NA,Charming studio few steps from Atomium - Orchidée,2017/07/15 01:52:18,50.886963,4.344852,0101000020E61000003DD7F7E1206111408BE1EA0088714940
11807483,1454,55011211,Entire home/apt,NA,Belgium,Brussel,Sint-Joost-ten-Node,9,4.5,4,1,NA,64,NA,Madou II,2017/07/15 01:52:18,50.849736,4.370011,0101000020E61000001AA4E029E47A1140EF1D3526C46C4940
13663328,1454,79226751,Entire home/apt,NA,Belgium,Brussel,Brussel,25,4.5,4,0,NA,71,NA,321 Mogador,2017/07/15 01:52:18,50.847699,4.353218,0101000020E6100000226FB9FAB16911400BED9C66816C4940
13695304,1454,79828441,Entire home/apt,NA,Belgium,Brussel,Brussel,42,4.5,6,2,NA,81,NA,Brand new apartment- Grand Place /Parking possible,2017/07/15 01:52:12,50.851123,4.355502,0101000020E61000007FA65EB7086C1140CCEF3499F16C4940
